Time,CPU_Usage (%),Memory_Usage (%)
2025-05-22 09:48:04,2.8,52.2
2025-05-22 09:48:05,4.3,52.3
2025-05-22 09:48:06,2.3,52.3
2025-05-22 09:48:07,1.8,52.3
2025-05-22 09:48:08,3.5,52.3
2025-05-22 09:48:09,2.8,52.3
2025-05-22 09:48:10,6.3,52.3
2025-05-22 09:48:11,3.0,52.3
2025-05-22 09:48:12,2.8,52.3
2025-05-22 09:48:13,1.5,52.3
2025-05-22 09:48:14,2.3,52.3
2025-05-22 09:48:15,5.0,52.4
2025-05-22 09:48:16,1.5,52.4
2025-05-22 09:48:17,5.8,52.3
2025-05-22 09:48:18,1.8,52.3
2025-05-22 09:48:19,1.0,52.3
2025-05-22 09:48:20,31.0,52.3
2025-05-22 09:48:21,5.4,52.4
2025-05-22 09:48:22,2.3,52.4
2025-05-22 09:48:23,2.5,52.4
2025-05-22 09:48:26,7.5,52.4
2025-05-22 09:48:27,2.5,52.4
2025-05-22 09:48:28,3.3,52.4
2025-05-22 09:48:29,3.7,52.4
2025-05-22 09:48:30,1.0,52.4
2025-05-22 09:48:31,1.5,52.4
2025-05-22 09:48:32,2.3,52.4
2025-05-22 09:48:33,7.6,52.4
2025-05-22 09:48:34,2.3,52.4
2025-05-22 09:48:35,1.0,52.4
2025-05-22 09:48:36,2.8,52.4
2025-05-22 09:48:37,2.0,52.4
2025-05-22 09:48:38,3.0,52.4
2025-05-22 09:48:39,1.8,52.4
2025-05-22 09:48:40,4.1,52.4
2025-05-22 09:48:41,2.2,52.4
2025-05-22 09:48:42,1.8,52.4
2025-05-22 09:48:43,3.5,52.4
2025-05-22 09:48:44,1.5,52.4
2025-05-22 09:48:45,1.5,52.4
2025-05-22 09:48:46,1.3,52.4
2025-05-22 09:48:47,5.5,52.4
2025-05-22 09:48:48,4.9,52.4
2025-05-22 09:48:49,2.8,52.4
2025-05-22 09:48:50,0.8,52.4
2025-05-22 09:48:51,3.0,52.4
2025-05-22 09:48:52,2.8,52.4
2025-05-22 09:48:53,3.3,52.4
2025-05-22 09:48:54,7.5,52.4
2025-05-22 09:48:55,2.0,52.4
2025-05-22 09:48:56,2.5,52.4
2025-05-22 09:48:57,1.0,52.4
2025-05-22 09:48:58,3.1,52.4
2025-05-22 09:49:00,1.0,52.4
2025-05-22 09:49:01,7.2,52.4
2025-05-22 09:49:02,5.0,52.4
2025-05-22 09:49:03,2.8,52.4
2025-05-22 09:49:04,5.1,52.4
2025-05-22 09:49:06,2.0,52.4
2025-05-22 09:49:07,3.1,52.4
2025-05-22 09:49:08,1.0,52.4
2025-05-22 09:49:09,4.3,52.4
2025-05-22 09:49:10,6.8,52.4
2025-05-22 09:49:11,2.8,52.4
2025-05-22 09:49:12,0.8,52.4
2025-05-22 09:49:13,1.8,52.4
2025-05-22 09:49:14,1.5,52.4
2025-05-22 09:49:15,3.8,52.4
2025-05-22 09:49:16,9.7,52.4
2025-05-22 09:49:17,1.5,52.4
2025-05-22 09:49:18,0.8,52.4
2025-05-22 09:49:19,2.8,52.4
2025-05-22 09:49:20,2.8,52.4
2025-05-22 09:49:21,1.3,52.4
2025-05-22 09:49:22,1.3,52.4
2025-05-22 09:49:23,4.7,52.4
2025-05-22 09:49:24,1.0,52.4
2025-05-22 09:49:25,3.0,52.4
2025-05-22 09:49:26,2.5,52.4
2025-05-22 09:49:27,1.7,52.4
2025-05-22 09:49:28,0.8,52.4
2025-05-22 09:49:29,1.5,52.3
2025-05-22 09:49:30,6.8,52.4
2025-05-22 09:49:31,2.2,52.3
2025-05-22 09:49:33,1.8,52.3
2025-05-22 09:49:34,0.5,52.3
2025-05-22 09:49:35,1.5,52.3
2025-05-22 09:49:36,3.3,52.3
2025-05-22 09:49:37,6.8,52.3
2025-05-22 09:49:38,8.5,52.3
2025-05-22 09:49:39,0.8,52.3
2025-05-22 09:49:41,1.8,52.3
2025-05-22 09:49:42,1.0,52.3
2025-05-22 09:49:43,1.2,52.3
2025-05-22 09:49:44,0.5,52.3
2025-05-22 09:49:45,5.0,52.3
2025-05-22 09:49:46,2.0,52.3
2025-05-22 09:49:47,2.8,52.3
2025-05-22 09:49:48,1.0,52.3
2025-05-22 09:49:49,1.2,52.3
2025-05-22 09:49:50,1.8,52.3
2025-05-22 09:49:51,2.5,52.4
2025-05-22 09:49:52,3.8,52.4
2025-05-22 09:49:53,2.3,52.4
2025-05-22 09:49:54,1.0,52.4
2025-05-22 09:49:55,1.0,52.4
2025-05-22 09:49:56,2.7,52.4
2025-05-22 09:49:57,3.0,52.4
2025-05-22 09:49:58,3.0,52.4
2025-05-22 09:49:59,1.3,52.4
2025-05-22 09:50:00,1.8,52.4
2025-05-22 09:50:01,2.5,52.4
2025-05-22 09:50:02,2.3,52.4
2025-05-22 09:50:03,2.2,52.5
2025-05-22 09:50:04,1.0,52.5
2025-05-22 09:50:05,3.5,52.5
2025-05-22 09:50:06,3.0,52.5
2025-05-22 09:50:08,0.5,52.5
2025-05-22 09:50:09,1.0,52.5
2025-05-22 09:50:10,0.8,52.5
2025-05-22 09:50:11,1.0,52.5
2025-05-22 09:50:12,3.0,52.5
2025-05-22 09:50:13,5.7,52.5
2025-05-22 09:50:14,0.5,52.6
2025-05-22 09:50:15,1.3,52.6
2025-05-22 09:50:16,1.0,52.5
2025-05-22 09:50:17,2.0,52.5
2025-05-22 09:50:18,1.3,52.5
2025-05-22 09:50:19,4.0,52.5
2025-05-22 09:50:20,0.3,52.5
2025-05-22 09:50:21,1.3,52.5
2025-05-22 09:50:22,1.0,52.5
2025-05-22 09:50:23,2.3,52.5
2025-05-22 09:50:24,1.0,52.5
2025-05-22 09:50:25,0.5,52.5
2025-05-22 09:50:26,3.8,52.5
2025-05-22 09:50:27,2.5,52.5
2025-05-22 09:50:28,1.3,52.5
2025-05-22 09:50:29,2.5,52.5
2025-05-22 09:50:30,1.3,52.5
2025-05-22 09:50:31,0.5,52.5
2025-05-22 09:50:32,5.3,52.5
2025-05-22 09:50:33,2.2,52.5
2025-05-22 09:50:34,0.5,52.5
2025-05-22 09:50:35,0.8,52.5
2025-05-22 09:50:36,1.5,52.5
2025-05-22 09:50:37,2.5,52.5
2025-05-22 09:50:38,3.0,52.5
2025-05-22 09:50:39,5.5,52.5
2025-05-22 09:50:42,0.5,52.5
2025-05-22 09:50:43,0.8,52.5
2025-05-22 09:50:44,2.5,52.5
2025-05-22 09:50:45,1.0,52.5
2025-05-22 09:50:46,1.3,52.5
2025-05-22 09:50:47,5.2,52.5
2025-05-22 09:50:48,0.0,52.5
2025-05-22 09:50:49,2.8,52.5
2025-05-22 09:50:50,0.5,52.5
2025-05-22 09:50:51,0.5,52.5
2025-05-22 09:50:52,0.3,52.5
2025-05-22 09:50:53,1.0,52.5
2025-05-22 09:50:54,3.8,52.5
2025-05-22 09:50:55,0.5,52.5
2025-05-22 09:50:56,1.3,52.5
2025-05-22 09:50:57,0.5,52.5
2025-05-22 09:50:58,0.8,52.5
2025-05-22 09:50:59,1.3,52.5
2025-05-22 09:51:00,3.0,52.5
2025-05-22 09:51:01,1.0,52.5
2025-05-22 09:51:02,1.7,52.5
2025-05-22 09:51:03,0.8,52.5
2025-05-22 09:51:04,3.0,52.5
2025-05-22 09:51:05,2.2,52.5
2025-05-22 09:51:06,0.5,52.5
2025-05-22 09:51:07,4.7,52.5
2025-05-22 09:51:08,1.0,52.5
2025-05-22 09:51:09,2.0,52.5
2025-05-22 09:51:10,1.5,52.5
2025-05-22 09:51:11,0.5,52.5
2025-05-22 09:51:12,1.0,52.5
2025-05-22 09:51:13,4.7,52.5
2025-05-22 09:51:16,1.0,52.5
2025-05-22 09:51:17,0.8,52.5
2025-05-22 09:51:18,1.3,52.5
2025-05-22 09:51:19,4.5,52.5
2025-05-22 09:51:20,1.3,52.5
2025-05-22 09:51:21,2.5,52.5
2025-05-22 09:51:22,4.0,52.5
2025-05-22 09:51:23,1.0,52.5
2025-05-22 09:51:24,0.5,52.5
2025-05-22 09:51:25,0.8,52.5
2025-05-22 09:51:26,3.7,52.5
2025-05-22 09:51:27,2.0,52.5
2025-05-22 09:51:28,2.3,52.5
2025-05-22 09:51:29,3.5,52.5
2025-05-22 09:51:30,0.8,52.5
2025-05-22 09:51:31,2.0,52.5
2025-05-22 09:51:32,1.3,52.5
2025-05-22 09:51:33,1.0,52.5
2025-05-22 09:51:34,4.5,52.5
2025-05-22 09:51:35,0.5,52.5
2025-05-22 09:51:36,3.0,52.5
2025-05-22 09:51:37,1.3,52.5
2025-05-22 09:51:38,1.3,52.5
2025-05-22 09:51:39,0.8,52.5
2025-05-22 09:51:40,1.0,52.5
2025-05-22 09:51:41,5.0,52.5
2025-05-22 09:51:42,1.8,52.5
2025-05-22 09:51:43,1.5,52.5
2025-05-22 09:51:44,1.0,52.5
2025-05-22 09:51:45,1.5,52.5
2025-05-22 09:51:46,1.8,52.5
2025-05-22 09:51:47,3.8,52.5
2025-05-22 09:51:50,1.7,52.5
2025-05-22 09:51:51,0.5,52.5
2025-05-22 09:51:52,1.3,52.5
2025-05-22 09:51:53,3.7,52.5
2025-05-22 09:51:54,0.8,52.5
2025-05-22 09:51:55,7.3,52.5
2025-05-22 09:51:56,1.8,52.5
2025-05-22 09:51:57,1.0,52.5
2025-05-22 09:51:58,3.5,52.5
2025-05-22 09:51:59,2.7,52.4
2025-05-22 09:52:00,1.5,52.4
2025-05-22 09:52:01,2.8,52.5
2025-05-22 09:52:02,6.9,52.5
2025-05-22 09:52:03,2.5,52.5
2025-05-22 09:52:04,2.0,52.5
2025-05-22 09:52:05,0.3,52.5
2025-05-22 09:52:06,1.0,52.5
2025-05-22 09:52:07,1.3,52.5
2025-05-22 09:52:08,4.6,52.5
2025-05-22 09:52:09,1.5,52.5
2025-05-22 09:52:10,0.8,52.5
2025-05-22 09:52:11,0.0,52.5
2025-05-22 09:52:12,1.3,52.5
2025-05-22 09:52:13,2.0,52.5
2025-05-22 09:52:14,4.3,52.5
2025-05-22 09:52:15,1.8,52.5
2025-05-22 09:52:16,2.0,52.5
2025-05-22 09:52:17,0.5,52.5
2025-05-22 09:52:18,2.8,52.5
2025-05-22 09:52:19,1.0,52.5
2025-05-22 09:52:20,2.5,52.5
2025-05-22 09:52:21,3.8,52.5
2025-05-22 09:52:24,1.5,52.5
2025-05-22 09:52:25,1.5,52.5
2025-05-22 09:52:26,1.5,52.5
2025-05-22 09:52:27,2.0,52.5
2025-05-22 09:52:28,2.0,52.6
2025-05-22 09:52:29,5.5,52.6
2025-05-22 09:52:30,0.8,52.6
2025-05-22 09:52:31,0.3,52.6
2025-05-22 09:52:32,0.8,52.6
2025-05-22 09:52:33,2.5,52.5
2025-05-22 09:52:34,2.0,52.5
2025-05-22 09:52:35,7.6,52.6
2025-05-22 09:52:36,0.5,52.6
2025-05-22 09:52:37,1.8,52.6
2025-05-22 09:52:38,3.5,52.6
2025-05-22 09:52:39,1.7,52.6
2025-05-22 09:52:40,0.8,52.6
2025-05-22 09:52:41,5.1,52.6
2025-05-22 09:52:42,1.0,52.6
2025-05-22 09:52:43,3.5,52.6
2025-05-22 09:52:44,3.8,52.6
2025-05-22 09:52:45,1.5,52.6
2025-05-22 09:52:46,0.8,52.6
2025-05-22 09:52:47,4.5,52.7
2025-05-22 09:52:48,1.5,52.7
2025-05-22 09:52:49,2.5,52.6
2025-05-22 09:52:50,1.3,52.6
2025-05-22 09:52:51,0.0,52.6
2025-05-22 09:52:52,1.3,52.6
2025-05-22 09:52:53,5.5,52.6
2025-05-22 09:52:54,8.7,52.6
2025-05-22 09:52:55,2.0,52.6
2025-05-22 09:52:58,2.0,52.6
2025-05-22 09:52:59,1.5,52.6
2025-05-22 09:53:00,3.0,52.7
2025-05-22 09:53:01,1.8,52.7
2025-05-22 09:53:02,3.8,52.7
2025-05-22 09:53:03,1.3,52.7
2025-05-22 09:53:04,1.3,52.7
2025-05-22 09:53:05,2.2,52.7
2025-05-22 09:53:06,2.8,52.7
2025-05-22 09:53:07,2.3,52.7
2025-05-22 09:53:08,3.9,52.7
2025-05-22 09:53:09,1.5,52.7
2025-05-22 09:53:10,3.3,52.7
2025-05-22 09:53:11,2.5,52.7
2025-05-22 09:53:12,0.8,52.7
2025-05-22 09:53:13,1.5,52.7
2025-05-22 09:53:14,4.0,52.7
2025-05-22 09:53:15,2.3,52.7
2025-05-22 09:53:16,1.0,52.7
2025-05-22 09:53:17,2.2,52.7
2025-05-22 09:53:18,1.3,52.7
2025-05-22 09:53:19,0.5,52.7
2025-05-22 09:53:20,9.2,52.7
2025-05-22 09:53:21,2.0,52.7
2025-05-22 09:53:22,1.3,52.7
2025-05-22 09:53:23,1.0,52.7
2025-05-22 09:53:24,1.3,52.7
2025-05-22 09:53:25,1.5,52.7
2025-05-22 09:53:26,5.0,52.7
2025-05-22 09:53:27,3.7,52.7
2025-05-22 09:53:28,1.8,52.7
2025-05-22 09:53:29,2.3,52.7
2025-05-22 09:53:32,5.6,52.7
2025-05-22 09:53:33,0.3,52.7
2025-05-22 09:53:34,0.8,52.7
2025-05-22 09:53:35,5.3,52.7
2025-05-22 09:53:36,0.8,52.7
2025-05-22 09:53:37,1.3,52.7
2025-05-22 09:53:38,3.5,52.7
2025-05-22 09:53:39,0.5,52.7
2025-05-22 09:53:40,1.5,52.7
2025-05-22 09:53:41,7.0,52.7
2025-05-22 09:53:42,3.0,52.7
2025-05-22 09:53:43,2.8,52.7
2025-05-22 09:53:44,0.5,52.7
2025-05-22 09:53:45,3.3,52.7
2025-05-22 09:53:46,2.0,52.7
2025-05-22 09:53:47,4.3,52.6
2025-05-22 09:53:48,3.8,52.6
2025-05-22 09:53:49,1.5,52.6
2025-05-22 09:53:50,1.0,52.6
2025-05-22 09:53:51,1.5,52.6
2025-05-22 09:53:52,3.0,52.6
2025-05-22 09:53:53,5.8,52.6
2025-05-22 09:53:54,2.3,52.6
2025-05-22 09:53:55,1.3,52.6
2025-05-22 09:53:56,0.8,52.6
2025-05-22 09:53:57,5.7,52.6
2025-05-22 09:53:58,3.6,52.6
2025-05-22 09:53:59,5.2,52.6
2025-05-22 09:54:00,1.5,52.6
2025-05-22 09:54:01,2.0,52.6
2025-05-22 09:54:02,3.0,52.6
2025-05-22 09:54:03,2.3,52.6
2025-05-22 09:54:06,1.3,52.6
2025-05-22 09:54:07,6.0,52.6
2025-05-22 09:54:08,1.0,52.6
2025-05-22 09:54:09,2.0,52.6
2025-05-22 09:54:10,1.3,52.6
2025-05-22 09:54:11,1.0,52.6
2025-05-22 09:54:12,0.8,52.6
