src_ip,src_port,dest_ip,dest_port,proto,start_time,flow_alerted
172.16.255.1,10678,212.8.163.80,54900,tcp,1295981668,False
172.16.255.1,10633,212.8.166.36,12350,tcp,1295981650,False
172.16.255.1,10691,184.85.226.161,443,tcp,1295981693,False
172.16.255.1,10622,147.31.122.1,443,tcp,1295981642,False
172.16.255.1,10650,184.85.226.161,443,tcp,1295981658,False
192.168.3.131,55962,65.55.5.232,80,tcp,1295981543,False
172.16.255.1,10634,204.9.163.184,12350,tcp,1295981651,False
192.168.3.131,55961,184.24.133.32,80,tcp,1295981543,False
172.16.255.1,10625,194.165.188.79,33033,tcp,1295981646,False
172.16.255.1,10659,109.255.178.86,443,tcp,1295981660,False
172.16.255.1,10675,212.8.163.80,43400,tcp,1295981665,False
192.168.3.131,56049,206.108.207.163,80,tcp,1295981570,False
192.168.3.131,55971,65.55.17.37,80,tcp,1295981545,False
10.0.2.15,2542,207.46.113.78,5443,tcp,1295981773,False
192.168.3.131,57247,204.14.234.85,443,tcp,1295981799,False
192.168.3.131,52402,72.14.213.132,443,tcp,1295981653,False
172.16.255.1,10685,204.9.163.160,35777,tcp,1295981670,False
172.16.255.1,10689,109.227.83.224,443,tcp,1295981675,True
172.16.255.1,10621,147.31.122.1,18165,tcp,1295981641,False
172.16.255.1,10632,194.165.188.76,12350,tcp,1295981650,False
172.16.255.1,10676,204.9.163.160,35777,tcp,1295981666,False
192.168.3.131,56058,206.108.207.138,80,tcp,1295981571,False
10.0.2.15,2542,207.46.113.78,443,tcp,1295981663,False
192.168.3.131,56361,66.235.133.62,80,tcp,1295981687,True
10.0.2.15,2528,65.54.189.173,1863,tcp,1295981656,False
172.16.255.1,10697,109.173.29.34,443,tcp,1295981733,False
10.0.2.15,2544,207.46.113.78,443,tcp,1295981664,False
172.16.255.1,10667,194.192.199.252,443,tcp,1295981661,False
172.16.255.1,10694,10.1.1.2,50023,tcp,1295981732,False
10.0.2.15,2546,91.103.140.2,80,tcp,1295981665,False
172.16.255.1,10664,67.215.65.132,443,tcp,1295981661,False
172.16.255.1,10629,212.8.166.36,12350,tcp,1295981648,False
10.0.2.15,2536,65.55.15.244,80,tcp,1295981659,False
10.0.2.15,2539,198.104.200.146,5480,tcp,1295981769,False
192.168.3.131,57248,204.14.234.85,443,tcp,1295981799,False
192.168.3.131,56323,66.235.133.62,80,tcp,1295981675,True
192.168.3.131,56411,65.55.206.199,80,tcp,1295981708,False
192.168.3.131,56328,76.74.140.168,80,tcp,1295981675,False
192.168.3.131,57243,204.14.234.85,8443,tcp,1295981760,False
172.16.255.1,10627,194.165.188.79,443,tcp,1295981647,False
192.168.3.131,55954,65.55.17.37,80,tcp,1295981543,False
172.16.255.1,10646,184.85.226.161,443,tcp,1295981657,False
192.168.3.131,56169,206.108.207.155,80,tcp,1295981608,True
192.168.3.131,55953,65.55.206.209,80,tcp,1295981543,False
172.16.255.1,10647,184.85.226.161,443,tcp,1295981657,False
192.168.3.131,56136,206.108.207.163,80,tcp,1295981596,True
192.168.3.131,57245,204.14.234.85,443,tcp,1295981790,False
192.168.3.131,56061,195.27.155.11,80,tcp,1295981571,False
172.16.255.1,10677,204.9.163.160,35777,tcp,1295981666,False
192.168.3.131,57246,204.14.234.85,8443,tcp,1295981790,False
10.0.2.15,2544,207.46.113.78,5443,tcp,1295981774,False
172.16.255.1,10682,109.227.83.224,443,tcp,1295981669,False
172.16.255.1,10692,10.1.1.2,50023,tcp,1295981728,False
192.168.3.131,56324,65.55.118.107,80,tcp,1295981675,False
172.16.255.1,10639,204.9.163.181,443,tcp,1295981654,False
10.0.2.15,2548,65.54.167.27,80,tcp,1295981668,False
10.0.2.15,2536,65.55.15.244,5480,tcp,1295981769,False
172.16.255.1,10679,212.8.163.80,54900,tcp,1295981668,False
192.168.3.131,55959,65.55.5.231,80,tcp,1295981543,False
172.16.255.1,10695,10.1.1.2,50023,tcp,1295981732,False
172.16.255.1,10640,204.9.163.181,443,tcp,1295981655,False
172.16.255.1,10637,204.9.163.184,443,tcp,1295981652,False
192.168.3.131,56505,65.54.95.66,80,tcp,1295981735,False
192.168.3.131,56317,66.235.139.121,80,tcp,1295981674,True
172.16.255.1,10690,109.173.29.34,443,tcp,1295981675,True
172.16.255.1,10672,212.8.163.80,54900,tcp,1295981663,False
172.16.255.1,10683,109.173.29.34,443,tcp,1295981669,True
192.168.3.131,57244,204.14.234.85,443,tcp,1295981761,False
172.16.255.1,10704,67.215.65.132,445,tcp,1295981802,False
172.16.255.1,10631,204.9.163.184,12350,tcp,1295981649,False
192.168.3.131,52152,72.14.213.147,443,tcp,1295981542,False
10.0.2.15,2539,198.104.200.146,80,tcp,1295981659,False
192.168.3.131,55958,65.55.239.163,80,tcp,1295981543,False
172.16.255.1,10642,204.9.163.181,443,tcp,1295981655,False
192.168.3.131,56510,65.54.95.68,80,tcp,1295981736,False
192.168.3.131,55972,207.46.216.54,80,tcp,1295981545,False
192.168.3.131,56048,66.220.149.32,80,tcp,1295981570,True
10.0.2.15,2537,65.55.15.244,80,tcp,1295981659,False
192.168.3.131,56356,66.235.139.121,80,tcp,1295981687,True
192.168.3.131,58769,72.14.213.138,80,tcp,1295981775,False
172.16.255.1,10626,213.166.51.4,33033,tcp,1295981647,False
172.16.255.1,10624,213.166.51.4,33033,tcp,1295981645,False
192.168.3.131,56506,207.46.148.38,80,tcp,1295981735,False
192.168.3.131,56326,65.54.95.39,80,tcp,1295981675,False
192.168.3.131,58544,208.82.236.129,80,tcp,1295981669,False
192.168.3.131,56314,65.54.95.75,80,tcp,1295981672,False
172.16.255.1,50983,87.121.79.141,29347,udp,1295981650,False
172.16.255.1,50983,82.226.125.157,45834,udp,1295981660,False
192.168.3.131,58786,208.82.236.129,80,tcp,1295981782,False
192.168.3.131,57233,204.14.234.101,443,tcp,1295981760,False
192.168.3.131,17500,192.168.3.255,17500,udp,1295981750,False
192.168.3.131,56428,65.54.95.68,80,tcp,1295981710,False
192.168.3.131,56457,65.54.95.68,80,tcp,1295981719,False
72.14.213.103,80,192.168.3.131,57884,tcp,1295981652,False
172.16.255.1,50983,98.243.160.202,53755,udp,1295981666,False
172.16.255.1,50983,69.255.24.214,24506,udp,1295981641,False
192.168.3.131,55966,63.215.202.48,80,tcp,1295981543,False
172.16.255.1,50983,70.67.177.253,52967,udp,1295981670,False
192.168.3.131,52400,192.168.3.99,161,udp,1295981744,False
192.168.3.131,58788,208.82.236.129,80,tcp,1295981782,False
10.0.2.15,50559,10.0.2.3,53,udp,1295981655,False
192.168.3.131,56331,65.54.95.68,80,tcp,1295981676,False
172.16.255.1,50983,82.58.187.140,43187,udp,1295981663,False
10.0.2.15,2535,207.46.125.253,7001,udp,1295981659,False
172.16.255.1,50983,95.86.252.198,6192,udp,1295981655,False
192.168.3.131,57242,66.235.136.89,8443,tcp,1295981764,False
192.168.3.131,57213,74.125.127.148,80,tcp,1295981794,False
192.168.3.131,56476,65.54.95.68,80,tcp,1295981728,False
192.168.3.131,56454,65.54.95.75,80,tcp,1295981719,False
10.0.2.15,1095,192.168.3.90,139,tcp,1295981649,False
192.168.3.131,56455,65.54.95.75,80,tcp,1295981719,False
192.168.3.131,57147,208.50.77.97,80,tcp,1295981764,False
10.0.2.15,2531,207.46.125.253,7001,udp,1295981768,False
172.16.255.1,50983,10.1.1.2,50023,udp,1295981735,False
172.16.255.1,50983,87.64.66.227,31783,udp,1295981650,False
172.16.255.1,10669,204.194.237.136,80,tcp,1295981662,False
172.16.255.1,50983,67.84.50.244,37499,udp,1295981789,False
192.168.3.131,58517,208.82.236.130,80,tcp,1295981657,False
172.16.255.1,50983,94.41.86.170,9113,udp,1295981666,False
172.16.255.1,50983,24.192.137.36,45156,udp,1295981666,False
10.0.2.15,61870,10.0.2.3,53,udp,1295981659,False
172.16.255.1,10714,204.9.163.158,80,tcp,1295981828,True
